Barrio;Latitud;Longitud;Country (Name);State/Province;Latitude;Longitude
CHACARITA;-34,5880647105625;-58,4518020861319;Argentina;Ciudad de Buenos Aires;-34,5880647105625;-58,4518020861319
VILLA CRESPO;-34,5981416725561;-58,4418491950448;Argentina;Ciudad de Buenos Aires;-34,5981416725561;-58,4418491950448
BELGRANO;-34,5532678728765;-58,4464521348604;Argentina;Ciudad de Buenos Aires;-34,5532678728765;-58,4464521348604
RECOLETA;-34,5845546116709;-58,3964637494477;Argentina;Ciudad de Buenos Aires;-34,5845546116709;-58,3964637494477
RETIRO;-34,5883884720865;-58,372298347688;Argentina;Ciudad de Buenos Aires;-34,5883884720865;-58,372298347688
VILLA SANTA RITA;-34,616378311772;-58,4834525244926;Argentina;Ciudad de Buenos Aires;-34,616378311772;-58,4834525244926
BARRACAS;-34,6445755450559;-58,3829169516616;Argentina;Ciudad de Buenos Aires;-34,6445755450559;-58,3829169516616
PALERMO;-34,5743954065221;-58,4227160209753;Argentina;Ciudad de Buenos Aires;-34,5743954065221;-58,4227160209753
PUERTO MADERO;-34,6101158222289;-58,3526266685737;Argentina;Ciudad de Buenos Aires;-34,6101158222289;-58,3526266685737
BOCA;-34,6338876903345;-58,3615293910316;Argentina;Ciudad de Buenos Aires;-34,6338876903345;-58,3615293910316
PARQUE CHAS;-34,5854242669018;-58,480045646722;Argentina;Ciudad de Buenos Aires;-34,5854242669018;-58,480045646722
COLEGIALES;-34,5746395655064;-58,4531038756845;Argentina;Ciudad de Buenos Aires;-34,5746395655064;-58,4531038756845
COGHLAN;-34,5601914789001;-58,4754180616737;Argentina;Ciudad de Buenos Aires;-34,5601914789001;-58,4754180616737
VILLA PUEYRREDON;-34,581609326625;-58,5035894660205;Argentina;Ciudad de Buenos Aires;-34,581609326625;-58,5035894660205
SAN NICOLAS;-34,603806714151;-58,3802057464816;Argentina;Ciudad de Buenos Aires;-34,603806714151;-58,3802057464816
VILLA REAL;-34,619209220057;-58,5247859065315;Argentina;Ciudad de Buenos Aires;-34,619209220057;-58,5247859065315
PATERNAL;-34,5963782282419;-58,4715642002865;Argentina;Ciudad de Buenos Aires;-34,5963782282419;-58,4715642002865
SAN TELMO;-34,6225594664168;-58,3715549721975;Argentina;Ciudad de Buenos Aires;-34,6225594664168;-58,3715549721975
VILLA DEL PARQUE;-34,6059022854685;-58,4889954527539;Argentina;Ciudad de Buenos Aires;-34,6059022854685;-58,4889954527539
VILLA ORTUZAR;-34,5815446337104;-58,4672995761556;Argentina;Ciudad de Buenos Aires;-34,5815446337104;-58,4672995761556
ALMAGRO;-34,6098936682854;-58,4224632845641;Argentina;Ciudad de Buenos Aires;-34,6098936682854;-58,4224632845641
FLORESTA;-34,6278315241088;-58,48267829941;Argentina;Ciudad de Buenos Aires;-34,6278315241088;-58,48267829941
Dique 3;-34,6085990571536;-58,3650410264787;Argentina;Ciudad de Buenos Aires;-34,6085990571536;-58,3650410264787
CABALLITO;-34,6166562779805;-58,4435324959958;Argentina;Ciudad de Buenos Aires;-34,6166562779805;-58,4435324959958
MONTE CASTRO;-34,6187880463312;-58,5052109648438;Argentina;Ciudad de Buenos Aires;-34,6187880463312;-58,5052109648438
FLORES;-34,6353460166486;-58,4621873655078;Argentina;Ciudad de Buenos Aires;-34,6353460166486;-58,4621873655078
CONSTITUCION;-34,6257883610081;-58,3838643102714;Argentina;Ciudad de Buenos Aires;-34,6257883610081;-58,3838643102714
SAN CRISTOBAL;-34,6242575447172;-58,4017970791833;Argentina;Ciudad de Buenos Aires;-34,6242575447172;-58,4017970791833
BOEDO;-34,6304213552842;-58,4188807059834;Argentina;Ciudad de Buenos Aires;-34,6304213552842;-58,4188807059834
VELEZ SARSFIELD;-34,6313352534466;-58,4939349754642;Argentina;Ciudad de Buenos Aires;-34,6313352534466;-58,4939349754642
VILLA LURO;-34,6350484121104;-58,5029621864507;Argentina;Ciudad de Buenos Aires;-34,6350484121104;-58,5029621864507
PARQUE PATRICIOS;-34,6379179538403;-58,4006301091095;Argentina;Ciudad de Buenos Aires;-34,6379179538403;-58,4006301091095
BALVANERA;-34,6093227058563;-58,4032681717613;Argentina;Ciudad de Buenos Aires;-34,6093227058563;-58,4032681717613
MATADEROS;-34,6589590220086;-58,5017739117247;Argentina;Ciudad de Buenos Aires;-34,6589590220086;-58,5017739117247
VILLA LUGANO;-34,6746538240819;-58,47985715382;Argentina;Ciudad de Buenos Aires;-34,6746538240819;-58,47985715382
SAAVEDRA;-34,554313884165;-58,4889030865477;Argentina;Ciudad de Buenos Aires;-34,554313884165;-58,4889030865477
ESCOLLERA EXTERIOR;-34,5831839348174;-58,3572685061929;Argentina;Ciudad de Buenos Aires;-34,5831839348174;-58,3572685061929
VILLA URQUIZA;-34,5719612667097;-58,4872748403288;Argentina;Ciudad de Buenos Aires;-34,5719612667097;-58,4872748403288
VILLA GRAL, MITRE;-34,6105078438308;-58,4698306002429;Argentina;Ciudad de Buenos Aires;-34,6105078438308;-58,4698306002429
AGRONOMIA;-34,5922445833988;-58,4883951507128;Argentina;Ciudad de Buenos Aires;-34,5922445833988;-58,4883951507128
Dique 4;-34,6019151825093;-58,3658063508058;Argentina;Ciudad de Buenos Aires;-34,6019151825093;-58,3658063508058
Dique 1;-34,6208262207471;-58,3636635528939;Argentina;Ciudad de Buenos Aires;-34,6208262207471;-58,3636635528939
PARQUE AVELLANEDA;-34,6497140035796;-58,4773777903261;Argentina;Ciudad de Buenos Aires;-34,6497140035796;-58,4773777903261
PARQUE CHACABUCO;-34,637175431996;-58,4379303416617;Argentina;Ciudad de Buenos Aires;-34,637175431996;-58,4379303416617
Dique 2;-34,6149754951675;-58,3643130497832;Argentina;Ciudad de Buenos Aires;-34,6149754951675;-58,3643130497832
NUEVA POMPEYA;-34,6500773392728;-58,4177772495764;Argentina;Ciudad de Buenos Aires;-34,6500773392728;-58,4177772495764
VILLA RIACHUELO;-34,6928607982816;-58,4645781520123;Argentina;Ciudad de Buenos Aires;-34,6928607982816;-58,4645781520123
VILLA SOLDATI;-34,6678776277971;-58,4479777460868;Argentina;Ciudad de Buenos Aires;-34,6678776277971;-58,4479777460868
VILLA DEVOTO;-34,6007416676166;-58,5141058486933;Argentina;Ciudad de Buenos Aires;-34,6007416676166;-58,5141058486933
LINIERS;-34,6448445206002;-58,5166357749025;Argentina;Ciudad de Buenos Aires;-34,6448445206002;-58,5166357749025
VERSALLES;-34,62917326487;-58,5230739499297;Argentina;Ciudad de Buenos Aires;-34,62917326487;-58,5230739499297
MONSERRAT;-34,612330602846;-58,3794389028705;Argentina;Ciudad de Buenos Aires;-34,612330602846;-58,3794389028705
NUÃ‘EZ;-34,5432347991421;-58,4611350328884;Argentina;Ciudad de Buenos Aires;-34,5432347991421;-58,4611350328884
